pubmedId,title,author,affiliation
30793038,Genomic landscape of a metastatic malignant proliferating tricholemmal tumor and its response to PI3K inhibition.,Qingguo Wang,"Department of Biomedical Informatics, Department of Medicine, Nashville, TN USA."
30793038,Genomic landscape of a metastatic malignant proliferating tricholemmal tumor and its response to PI3K inhibition.,Zhongming Zhao,"Department of Biomedical Informatics, Department of Medicine, Nashville, TN USA."
30793038,Genomic landscape of a metastatic malignant proliferating tricholemmal tumor and its response to PI3K inhibition.,Zhongming Zhao,"7Vanderbilt Ingram Cancer Center, Vanderbilt University Medical Center, Nashville, TN USA."
30793038,Genomic landscape of a metastatic malignant proliferating tricholemmal tumor and its response to PI3K inhibition.,Zhongming Zhao,"11Present Address: The Center for Precision Health, School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, TX USA."
30793038,Genomic landscape of a metastatic malignant proliferating tricholemmal tumor and its response to PI3K inhibition.,Christine M Lovly,"7Vanderbilt Ingram Cancer Center, Vanderbilt University Medical Center, Nashville, TN USA."
30680851,Cases from the Undiagnosed Diseases Network: The continued value of counseling skills in a new genomic era.,Emily G Kelley,"Department of Biomedical Informatics, Harvard Medical School, Boston, Massachusetts."
30680851,Cases from the Undiagnosed Diseases Network: The continued value of counseling skills in a new genomic era.,Elly Brokamp,"Division of Genetics and Genomic Medicine, Vanderbilt University Medical Center, Nashville, Tennessee."
30680851,Cases from the Undiagnosed Diseases Network: The continued value of counseling skills in a new genomic era.,Kimberly LeBlanc,"Department of Biomedical Informatics, Harvard Medical School, Boston, Massachusetts."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Andrew D Wiese,"Department of Health Policy, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Christianne L Roumie,"Department of Medicine, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Christianne L Roumie,"Department of Pediatrics, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Heather L Morris,"Department of Health Outcomes and Biomedical Informatics, University of Florida, Gainesville, FL, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Sujata G Ayala,"Institute for Medicine and Public Health, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Megan M Cook,"Institute for Medicine and Public Health, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Katherine J Worley,"Vanderbilt Institute for Clinical and Translational Research, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Katherine N Bachmann,"Vanderbilt Translational and Clinical Cardiovascular Research Center, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Katherine N Bachmann,"Division of Diabetes, Endocrinology, and Metabolism, Department of Medicine, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Carlos G Grijalva,"Department of Health Policy, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Russell L Rothman,"Department of Health Policy, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Russell L Rothman,"Department of Medicine, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Russell L Rothman,"Department of Pediatrics, Vanderbilt University Medical Center, Nashville, TN, USA."
30680840,Performance of a computable phenotype for identification of patients with diabetes within PCORnet: The Patient-Centered Clinical Research Network.,Rosette J Chakkalakal,"Department of Medicine, Vanderbilt University Medical Center, Nashville, TN, USA."
30649532,DNA Methylation Markers of Type 2 Diabetes among HIV-Positive and -Negative Male Veterans.,Matthew S Freiberg,"Cardiovascular Medicine Division, Vanderbilt University School of Medicine and Tennessee Valley Healthcare System, Nashville, TN, USA."
30649532,DNA Methylation Markers of Type 2 Diabetes among HIV-Positive and -Negative Male Veterans.,Yan V Sun,"Department of Biomedical Informatics, Emory University School of Medicine, Atlanta, GA, USA."
30590688,Enrichment sampling for a multi-site patient survey using electronic health records and census data.,Ellen W Clayton,"Center for Biomedical Ethics and Society, Vanderbilt University, Nashville, Tennessee, USA."
30590688,Enrichment sampling for a multi-site patient survey using electronic health records and census data.,Valerie D McManus,"Biomedical Informatics Research Center, Marshfield Clinic Research Foundation, Marshfield, Wisconsin, USA."
30590688,Enrichment sampling for a multi-site patient survey using electronic health records and census data.,Martha J Shrubsole,"Vanderbilt Epidemiology Center, Vanderbilt University, Nashville, Tennessee, USA."
30590688,Enrichment sampling for a multi-site patient survey using electronic health records and census data.,Sarah C Stallings,"Division of Geriatric Medicine, Vanderbilt University, Nashville, Tennessee, USA."
30590688,Enrichment sampling for a multi-site patient survey using electronic health records and census data.,Jonathan S Schildcrout,"Department of Biostatistics, Vanderbilt University, Nashville, Tennessee, USA."
30557362,Disclosure of HIV serostatus and condomless sex among men living with HIV/AIDS in Florida.,Stephanie A S Staras,"Department of Health Outcomes and Biomedical Informatics, College of Medicine, University of Florida, Gainesville, FL, United States of America."
30557362,Disclosure of HIV serostatus and condomless sex among men living with HIV/AIDS in Florida.,Natalie Chichetto,"Division of General Internal Medicine and Public Health, Vanderbilt University Medical Center, Nashville, TN, United States of America."
30532227,De novo variants in congenital diaphragmatic hernia identify MYRF as a new syndrome and reveal genetic overlaps with other developmental disorders.,Haoquan Zhao,"Department of Biomedical Informatics, Columbia University Medical Center, New York, New York, United States of America."
30532227,De novo variants in congenital diaphragmatic hernia identify MYRF as a new syndrome and reveal genetic overlaps with other developmental disorders.,Alexander Kitaygorodsky,"Department of Biomedical Informatics, Columbia University Medical Center, New York, New York, United States of America."
30532227,De novo variants in congenital diaphragmatic hernia identify MYRF as a new syndrome and reveal genetic overlaps with other developmental disorders.,Melissa E Danko,"Monroe Carell Jr. Children's Hospital, Vanderbilt University Medical Center, Nashville, Tennessee, United States of America."
30532227,De novo variants in congenital diaphragmatic hernia identify MYRF as a new syndrome and reveal genetic overlaps with other developmental disorders.,Dai Chung,"Monroe Carell Jr. Children's Hospital, Vanderbilt University Medical Center, Nashville, Tennessee, United States of America."
30532227,De novo variants in congenital diaphragmatic hernia identify MYRF as a new syndrome and reveal genetic overlaps with other developmental disorders.,Yufeng Shen,"Department of Biomedical Informatics, Columbia University Medical Center, New York, New York, United States of America."
30527956,Genetic determinants of risk in pulmonary arterial hypertension: international genome-wide association studies and meta-analysis.,Eric D Austin,"Vanderbilt University, Nashville, TN, USA."
30527956,Genetic determinants of risk in pulmonary arterial hypertension: international genome-wide association studies and meta-analysis.,Keith Marsolo,"Biomedical Informatics, Cincinnati, OH, USA."
30527956,Genetic determinants of risk in pulmonary arterial hypertension: international genome-wide association studies and meta-analysis.,Ivan Robbins,"Vanderbilt University School of Medicine, Nashville, TN, USA."
30527956,Genetic determinants of risk in pulmonary arterial hypertension: international genome-wide association studies and meta-analysis.,Dan M Roden,"Vanderbilt University School of Medicine, Nashville, TN, USA."
30527956,Genetic determinants of risk in pulmonary arterial hypertension: international genome-wide association studies and meta-analysis.,Christian M Shaffer,"Vanderbilt University School of Medicine, Nashville, TN, USA."
30510241,Discovery of common and rare genetic risk variants for colorectal cancer.,Peyton Greenside,"Biomedical Informatics Program, Stanford University, Stanford, CA, USA."
30510241,Discovery of common and rare genetic risk variants for colorectal cancer.,Leon Raskin,"Division of Epidemiology, Vanderbilt Epidemiology Center, Vanderbilt University School of Medicine, Nashville, TN, USA."
30510241,Discovery of common and rare genetic risk variants for colorectal cancer.,Wei Zheng,"Division of Epidemiology, Department of Medicine, Vanderbilt-Ingram Cancer Center, Vanderbilt Epidemiology Center, Vanderbilt University School of Medicine, Nashville, TN, USA."
30466188,The International Childhood Cancer Cohort Consortium (I4C): A research platform of prospective cohorts for studying the aetiology of childhood cancers.,Gary S Phillips,"Center for Biostatistics, Department of Biomedical Informatics, Ohio State University, Columbus, Ohio, USA."
30466188,The International Childhood Cancer Cohort Consortium (I4C): A research platform of prospective cohorts for studying the aetiology of childhood cancers.,Edwin Trevathan,"Vanderbilt Institute for Global Health, Vanderbilt University Medical Center, Nashville, Tennessee, USA."
30442797,Standardizing return of participant results.,Suzanne Bakken,"School of Nursing and Department of Biomedical Informatics, Columbia University, New York, NY 10032, USA."
30442797,Standardizing return of participant results.,James H Nichols,"Department of Pathology, Microbiology, and Immunology, Vanderbilt University School of Medicine, Nashville, TN 37232, USA."
30442797,Standardizing return of participant results.,Consuelo H Wilkins,"Department of Medicine, Vanderbilt University Medical Center and Meharry Medical College, Nashville, TN 37208, USA."
30429575,Publisher Correction: Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Jacklyn N Hellwege,"Division of Epidemiology, Department of Medicine, Institute for Medicine and Public Health, Vanderbilt Genetics Institute, Vanderbilt University Medical Center, Tennessee Valley Healthcare System (626)/Vanderbilt University, Nashville, TN, USA."
30429575,Publisher Correction: Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Ayush Giri,"Vanderbilt Genetics Institute, Vanderbilt Epidemiology Center, Department of Obstetrics and Gynecology, Vanderbilt University Medical Center; Tennessee Valley Health Systems VA, Nashville, TN, USA."
30429575,Publisher Correction: Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Digna R Velez Edwards,"Vanderbilt Genetics Institute, Vanderbilt Epidemiology Center, Department of Obstetrics and Gynecology, Vanderbilt University Medical Center; Tennessee Valley Health Systems VA, Nashville, TN, USA."
30429575,Publisher Correction: Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Yan V Sun,"Department of Biomedical Informatics, Emory University School of Medicine, Atlanta, GA, USA."
30429575,Publisher Correction: Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Adriana M Hung,"Tennessee Valley Healthcare System (Nashville VA) & Vanderbilt University, Nashville, TN, USA."
30429575,Publisher Correction: Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Todd L Edwards,"Division of Epidemiology, Department of Medicine, Institute for Medicine and Public Health, Vanderbilt Genetics Institute, Vanderbilt University Medical Center, Tennessee Valley Healthcare System (626)/Vanderbilt University, Nashville, TN, USA."
30403821,Admixture mapping identifies novel loci for obstructive sleep apnea in Hispanic/Latino Americans.,Han Chen,"Center for Precision Health, School of Public Health & School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, TX, USA."
30403821,Admixture mapping identifies novel loci for obstructive sleep apnea in Hispanic/Latino Americans.,Jennifer E Below,"Vanderbilt Genetics Institute, Department of Medical Genetics, Vanderbilt University Medical Center, Nashville, TN, USA."
30224653,Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Jacklyn N Hellwege,"Division of Epidemiology, Department of Medicine, Institute for Medicine and Public Health, Vanderbilt Genetics Institute, Vanderbilt University Medical Center, Tennessee Valley Healthcare System (626)/Vanderbilt University, Nashville, TN, USA."
30224653,Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Ayush Giri,"Vanderbilt Genetics Institute, Vanderbilt Epidemiology Center, Department of Obstetrics and Gynecology, Vanderbilt University Medical Center; Tennessee Valley Health Systems VA, Nashville, TN, USA."
30224653,Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Digna R Velez Edwards,"Vanderbilt Genetics Institute, Vanderbilt Epidemiology Center, Department of Obstetrics and Gynecology, Vanderbilt University Medical Center; Tennessee Valley Health Systems VA, Nashville, TN, USA."
30224653,Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Yan V Sun,"Department of Biomedical Informatics, Emory University School of Medicine, Atlanta, GA, USA."
30224653,Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Adriana M Hung,"Tennessee Valley Healthcare System (Nashville VA) & Vanderbilt University, Nashville, TN, USA."
30224653,Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.,Todd L Edwards,"Division of Epidemiology, Department of Medicine, Institute for Medicine and Public Health, Vanderbilt Genetics Institute, Vanderbilt University Medical Center, Tennessee Valley Healthcare System (626)/Vanderbilt University, Nashville, TN, USA."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,Mayur B Patel,"Critical Illness, Brain dysfunction, and ICU Survivorship (CIBS) Center, Center for Health Services Research, Vanderbilt University Medical Center, Nashville, TN."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,Mayur B Patel,"Section of Surgical Sciences, Departments of Surgery, Neurosurgery, Hearing & Speech Sciences, Division of Trauma, Surgical Critical Care, and Emergency General Surgery, Vanderbilt Brain Institute, Vanderbilt University Medical Center, Nashville, TN."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,Patricia Lee,"Center for Knowledge Management, Vanderbilt University Medical Center, Nashville, TN."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,Andrew M Naidech,"Departments of Neurology (Stroke and Neurocritical Care), Neurological Surgery, Anesthesiology, Medical Social Sciences, and Preventive Medicine (Health and Biomedical Informatics), Northwestern University, Feinberg School of Medicine, Chicago, IL."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,Brenda T Pun,"Critical Illness, Brain dysfunction, and ICU Survivorship (CIBS) Center, Center for Health Services Research, Vanderbilt University Medical Center, Nashville, TN."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,Brenda T Pun,"Department of Medicine, Division of Allergy, Pulmonary and Critical Care Medicine, Vanderbilt University Medical Center, Nashville, TN."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,Annachiara Marra,"Critical Illness, Brain dysfunction, and ICU Survivorship (CIBS) Center, Center for Health Services Research, Vanderbilt University Medical Center, Nashville, TN."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,Annachiara Marra,"Department of Medicine, Division of Allergy, Pulmonary and Critical Care Medicine, Vanderbilt University Medical Center, Nashville, TN."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,Pratik P Pandharipande,"Critical Illness, Brain dysfunction, and ICU Survivorship (CIBS) Center, Center for Health Services Research, Vanderbilt University Medical Center, Nashville, TN."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,Pratik P Pandharipande,"Department of Anesthesiology, Division of Critical Care Medicine, Vanderbilt University Medical Center, Nashville, TN."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,E Wesley Ely,"Critical Illness, Brain dysfunction, and ICU Survivorship (CIBS) Center, Center for Health Services Research, Vanderbilt University Medical Center, Nashville, TN."
30142098,Delirium Monitoring in Neurocritically Ill Patients: A Systematic Review.,E Wesley Ely,"Department of Medicine, Division of Allergy, Pulmonary and Critical Care Medicine, Vanderbilt University Medical Center, Nashville, TN."
30122201,A Phase II Trial of Bortezomib and Vorinostat in Mantle Cell Lymphoma and Diffuse Large B-cell Lymphoma.,David Morgan,"Vanderbilt-Ingram Cancer Center, Nashville, TN."
30122201,A Phase II Trial of Bortezomib and Vorinostat in Mantle Cell Lymphoma and Diffuse Large B-cell Lymphoma.,Hui-Yi Lin,"Department of Biostatistics and Biomedical Informatics, H. Lee Moffitt Cancer Center, Tampa, FL."
30122201,A Phase II Trial of Bortezomib and Vorinostat in Mantle Cell Lymphoma and Diffuse Large B-cell Lymphoma.,Xiuhua Zhao,"Department of Biostatistics and Biomedical Informatics, H. Lee Moffitt Cancer Center, Tampa, FL."
30122201,A Phase II Trial of Bortezomib and Vorinostat in Mantle Cell Lymphoma and Diffuse Large B-cell Lymphoma.,Richard R Reich,"Department of Biostatistics and Biomedical Informatics, H. Lee Moffitt Cancer Center, Tampa, FL."
30113665,Predicting Inpatient Length of Stay After Brain Tumor Surgery: Developing Machine Learning Ensembles to Improve Predictive Performance.,Whitney E Muhlestein,"Department of Neurosurgery, Vanderbilt University, Nashville, Tennessee."
30113665,Predicting Inpatient Length of Stay After Brain Tumor Surgery: Developing Machine Learning Ensembles to Improve Predictive Performance.,Jason M Davies,"Departments of Neurosurgery and Biomedical Informatics, State University of New York, Buffalo, New York."
30113665,Predicting Inpatient Length of Stay After Brain Tumor Surgery: Developing Machine Learning Ensembles to Improve Predictive Performance.,Lola B Chambless,"Department of Neurosurgery, Vanderbilt University, Nashville, Tennessee."
30107138,"FHIT, a Novel Modifier Gene in Pulmonary Arterial Hypertension.",Eric D Austin,"7 Vanderbilt University Medical Center, Nashville, Tennessee; and."
30107138,"FHIT, a Novel Modifier Gene in Pulmonary Arterial Hypertension.",James E Loyd,"7 Vanderbilt University Medical Center, Nashville, Tennessee; and."
